Title,sitelink,description,logo,categories,sub-category,tags,weight,recommend,Content
"MoeMail

",https://nhhawa.edu.kg/,,,,,,10,2,"萌萌哒临时邮箱服务

"
Binance Alpha IDO 收益计算器,,,,,,,10,2,
Binance Alpha 手续费返佣,https://br.bedrockdao.com/alpha,刷 BR 的话每 15 分现在返现 0.2- 0.3 USDT,,,,,10,2,在 BN Web3 钱包刷 BR/USDT （PancakeSwap 路径）的地址都可以获得相对应的返佣，记得领取。
Alpha.DOG 地址监控工具,https://alpha.dog/,可以直接导入 CSV，支持四种语言,,,,,10,2,支持批量查询每日的 Binance Alpha 交易量、对应分数情况和损耗，付费版可以低延迟检查和刷新
Blockai.Pro 批量检查网站,https://blockai.pro/alpha-tool/commandcenter,可视化效果和交易竞赛数据很不错,,,,,10,2,免费版可查看 5 个地址的日损耗和交易量情况，还可以查看交易竞赛达标情况，还有实时区块链数据分析和每日刷 Alpha 各个分数段的分布图。
Binance Alpha 空投日历,https://alpha123.uk/,简洁的空投日历，价格更新的很及时,,,,,10,2,即将到来的 Binance Alpha 空投/TGE 活动以及历史空投数据，一、二段都会展示。
Tonvox 实时数据分析面板,,,,,,,10,2,可以检查当天实时各交易分的损耗分布、各交易分的流向、每日各交易分的人数（实时）、BN Alpha 离职/入职人数等。新增批量查询钱包交易量的功能
FLM资源分享,https://x.com/FLMdongtianfudi,,,,,,10,2,"📚 重度修仙小说爱好者 | 🖥 网络资源收集和分享者 | 💖 资源侵权请私信 |
更多精选资源将会发布在频道中✈，欢迎加入👇
TG频道：http://t.me/FLMdongtianfudi 
TG群组：http://t.me/FLMziyuansousuo
内幕消息：https://t.me/neimu_ne"
Imgbed图床,,,,,,,10,2,基于Cloudflare和电报群的图床 10G 不限流量
Kimi.ai - 帮你看更大的世界,https://kimi.moonshot.cn/,Kimi 是一个有着超大“内存”的智能助手，可以一口气读完二十万字的小说，还会上网冲浪，快来跟他聊聊吧 | Kimi.ai - Moonshot AI 出品的智能助手,,AI导航,,kimi-ai,10,2,"Kimi.ai - 帮你看更大的世界

<img src=""https://1984a.com/wp-content/uploads/2024/04/a1394-top_dark.65d30095.png"" />

月之暗面 (Moonshot AI) 创立于2023年3月，致力于寻求将能源转化为智能的最优解，通过产品与用户共创智能，2023年10月推出全球首个支持输入20万汉字的智能助手产品Kimi。创始团队核心成员参与了 Google Gemini、Google Bard、盘古NLP、悟道等多个大模型的研发，多项核心技术被Google PaLM、Meta LLaMa、Stable Diffusion等主流产品采用。

&nbsp;

Kimi,Kimi.ai,MoonshotAI,Moonshot,月之暗面,大语言模型,自然语言处理,人工智能大模型,AI聊天机器人,AI聊天,AI创作,国内大模型公司,AI聊天,AI助手,上下文窗口,context,long,超长

&nbsp;"
ChatGPT,https://chat.openai.com/,ChatGPT是由OpenAI开发的一个人工智能聊天机器人程序，于2022年11月推出。该程序使用基于GPT-3.5架构的大型语言模型并通过强化学习进行训练。,,AI导航,,chatgpt,10,2,"<div class=""panel site-content card transparent"">
<div class=""card-body p-0"">
<div class=""panel-body single my-4 "">

ChatGPT是由OpenAI开发的一个人工智能聊天机器人程序，于2022年11月推出。该程序使用基于GPT-3.5架构的大型语言模型并通过强化学习进行训练。

&nbsp;

</div>
</div>
</div>
<h2 class=""text-gray text-lg my-4""><i class=""iconfont icon-zouxiang mr-1""></i>数据统计</h2>
<div class=""card io-chart"">
<div id=""chart-container"" class="""" data-type=""sites"" data-post_id=""909"" data-nonce=""e11bae3048"">
<div></div>
</div>
</div>
<h2 class=""text-gray text-lg my-4""><i class=""iconfont icon-tubiaopeizhi mr-1""></i>数据评估</h2>
<div class=""panel site-content sites-default-content card"">
<div class=""card-body"">
<p class=""viewport"">ChatGPT浏览人数已经达到20,367，如你需要查询该站的相关权重信息，可以点击""<a class=""external"" href=""https://www.ainavpro.com/go/?url=aHR0cHM6Ly93d3cuYWl6aGFuLmNvbS9zZW8vY2hhdC5vcGVuYWkuY29t"" target=""_blank"" rel=""nofollow noopener"">爱站数据</a>""""<a class=""external"" href=""https://www.ainavpro.com/go/?url=aHR0cHM6Ly9zZW8uY2hpbmF6LmNvbS8%2FcT1jaGF0Lm9wZW5haS5jb20%3D"" target=""_blank"" rel=""nofollow noopener"">Chinaz数据</a>""进入；以目前的网站数据参考，建议大家请以爱站数据为准，更多网站价值评估因素如：ChatGPT的访问速度、搜索引擎收录以及索引量、用户体验等；当然要评估一个站的价值，最主要还是需要根据您自身的需求以及需要，一些确切的数据则需要找ChatGPT的站长进行洽谈提供。如该站的IP、PV、跳出率等！</p>

<div class=""text-center my-2""><span class="" content-title"">特别声明</span></div>
<p class=""text-muted text-sm m-0"">本站Ai导航提供的ChatGPT都来源于网络，不保证外部链接的准确性和完整性，同时，对于该外部链接的指向，不由Ai导航实际控制，在2023年2月22日 下午9:09收录时，该网页上的内容，都属于合规合法，后期网页的内容如出现违规，可以直接联系网站管理员进行删除，Ai导航不承担任何责任。</p>

</div>
</div>"
AI导航,https://www.ainavpro.com/,这是一个专注于人工智能产品的导航站。,,,,ai,10,2,"欢迎来到AI导航（<a href=""https://www.ainavpro.com/"">https://www.ainavpro.com/</a>），本站于2023.2.10开始准备，这是一个专注于人工智能产品的导航站。在这里，您可以找到各种各样的AI工具、应用、技术，以及商业应用等等。我们对AI产品进行了分类，包括文本处理、图片处理、代码工具、音频处理、视频处理、3D建模、商业应用、以及其他等等，方便您快速找到所需的工具和资源。

作为一家专业的人工智能导航站，我们致力于为广大用户提供最新、最全、最优质的AI产品和服务。我们的内容涵盖了机器学习、自然语言处理、计算机视觉、数据分析、数据挖掘、数据可视化、智能客服、智能推荐、智能投顾等多个领域。

AI导航还提供一系列实用的功能，比如智能搜索、AI推荐、定制化导航等，为您提供更加个性化、智能化的服务体验。

感谢您的使用，我们会不断努力提升用户体验和服务质量，为您带来更好的AI导航体验"
深度网址导航,https://www.deepdh.com/,深度网址导航(deepdh.com)是国内首屈一指的导航分类平台，收录国内外各类型网站供网友检索,,,,shenduwangzhidaohang,10,2,深度网址导航(deepdh.com)是国内首屈一指的导航分类平台，收录国内外各类型网站供网友检索，深度网址导航致力于为广大用户推荐各行各业优秀网站，国内外网站大全尽在深度导航。
 AIGC中文工具导航,https://www.aigc.cn/,AIGC.CN发现全球优质AI工具，与创作者一同成长!,,,,aigc,10,2,"<h1><strong>关于<a class=""external"" title=""由AIGC.CN搜集整理"" href=""https://aigc.cn/"" target=""_blank"" rel=""noopener"">AI</a>GC.CN</strong></h1>
<a class=""external"" title=""由AIGC.CN搜集整理"" href=""https://aigc.cn/"" target=""_blank"" rel=""noopener"">AIGC</a>中文<a class=""external"" title=""由AIGC.CN搜集整理"" href=""https://aigc.cn/"" target=""_blank"" rel=""noopener"">工具</a><a class=""external"" title=""由AIGC.CN搜集整理"" href=""https://aigc.cn/"" target=""_blank"" rel=""noopener"">导航</a>已经被Google、Bing、Qwant、YOU.com、百度、雅虎、F搜、知识星球等绝大多数平台收录。目前推荐国内外AI<a class=""external"" title=""由AIGC.CN搜集整理"" href=""https://aigc.cn/"" target=""_blank"" rel=""noopener"">应用</a>1000+，网址分类包含：国际工具导航、搜索引擎、内容检测器、文本写作、<a class=""external"" title=""由AIGC.CN搜集整理"" href=""https://aigc.cn/"" target=""_blank"" rel=""noopener"">智能</a>翻译、办公工具、文本营销、财务事务、聊天机器人、语音合成、音乐制作、绘画<a class=""external"" title=""由AIGC.CN搜集整理"" href=""https://aigc.cn/"" target=""_blank"" rel=""noopener"">生成</a>、图像化身、图像合成、3D生成、视频技术、数字虚拟人、生命科学、游戏应用、产品导购、无代码创作等40个细分领域。在<a href=""https://aigc.cn/"">AIGC</a>.CN你可以发现来自全球创业者发布的优质AI工具，现阶段的AI工具趋于成熟，使用它们可以为你打开新的窗户，看见更大、更精彩的创作空间。项目团队还在持续挖掘优质的<a class=""external"" title=""AIGC.CN工具导航进行搜集整理"" href=""https://aigc.cn/"" target=""_blank"" rel=""noopener"">AIGC工具</a>，测试后会推荐给广大创作者们。发现全球优质<a class=""external"" title=""由AIGC.CN搜集整理"" href=""https://aigc.cn/"" target=""_blank"" rel=""noopener"">AIGC工具</a>，与创作者一同成长！AIGC.cn期待与你相遇。

-本文由AIGC写作助手腾讯Effidit协助完成。
<h1><strong>ABOUT AIGC.CN</strong></h1>
AIGC Chinese tool navigation has been included by Google, Bing, Qwant, YOU.com, Baidu, Knowledge Planet and most other platforms. At present, 1000+ AI applications at home and abroad are recommended. Url classification includes: International tool navigation, search engine, content detector, text writing, intelligent translation, office tools, text marketing, financial affairs, chatbot, speech synthesis, music production, painting generation, image avatar, image synthesis, 3D generation, video technology, digital virtual human, life science, game application, product shopping guide, no code creation and other 40 subdivisions. On AIGC.CN, you can find quality AI tools published by entrepreneurs from all over the world. AI tools at this stage are becoming mature. Using them can open new Windows for you to see a bigger and more wonderful creative space. The project team is also continuing to develop high-quality AIGC tools, which will be tested and recommended to creators. Discover global quality AIGC tools and grow together with creators! AIGC.cn looks forward to meeting you.

- This article was written with the help of Tencent Effidit, AIGC's writing assistant.

Translation from: Youdao"
AI人工智慧工具大全,https://www.newaitools.io/,这个网站提供各种实用的人工智能工具，让我们可以轻松应对日常生活中的问题。,,AI导航,,ai-2,10,2,这个网站提供各种实用的人工智能工具，让我们可以轻松应对日常生活中的问题。
ChatGPT Shortcut,https://www.aishort.top/,让生产力加倍的 ChatGPT 快捷指令,,AI导航,,chatgpt-shortcut,10,2,"https://www.aishort.top/
<h1>ChatGPT Shortcut</h1>
让生产力加倍的 ChatGPT 快捷指令
<div id=""gtx-trans"" style=""position: absolute; left: 381px; top: 114.326px;"">
<div class=""gtx-trans-icon""></div>
</div>"
